Name,Company,Role,LinkedIn URL,Connection Status,Message Sent,Response,Demo Scheduled,Notes
Hayden Adams,Uniswap,Founder,linkedin.com/in/haydenzadams,Pending,No,No,No,Send connection request today
Michael Egorov,Curve Finance,CEO,linkedin.com/in/michaelegorov,Pending,No,No,No,Emphasize stable pool protection
Jared Grey,SushiSwap,CEO,linkedin.com/in/jaredgrey,Pending,No,No,No,Multi-chain angle
Fernando Martinelli,Balancer,CEO,linkedin.com/in/fernandomartinelli,Pending,No,No,No,Weighted pools vulnerability
Sergej Kunz,1inch,Co-founder,linkedin.com/in/sergejkunz,Pending,No,No,No,Aggregation + MEV protection synergy
Will Warren,0x,Co-founder,linkedin.com/in/willwarren,Pending,No,No,No,Protocol level integration
Steven Goldfeder,Arbitrum,CEO,linkedin.com/in/stevengoldfeder,Pending,No,No,No,L2 exclusive partnership
Jinglan Wang,Optimism,CEO,linkedin.com/in/jinglanwang,Pending,No,No,No,OP Stack integration
Sandeep Nailwal,Polygon,Co-founder,linkedin.com/in/sandeepnailwal,Pending,No,No,No,Scale + MEV protection
Jesse Pollak,Base,Creator,linkedin.com/in/jessepollak,Pending,No,No,No,Coinbase connection
Alex Gluchowski,zkSync,CEO,linkedin.com/in/alexgluchowski,Pending,No,No,No,ZK + MEV innovation
Chef,PancakeSwap,Team Lead,twitter.com/pancakeswap,Pending,No,No,No,BSC MEV protection
Brian Armstrong,Coinbase,CEO,linkedin.com/in/barmstrong,Pending,No,No,No,Coinbase Wallet integration
Richard Teng,Binance,CEO,linkedin.com/in/richardteng,Pending,No,No,No,Binance DeFi products
Jesse Powell,Kraken,Founder,linkedin.com/in/jessepowell,Pending,No,No,No,Kraken DeFi integration
Stani Kulechov,Aave,Founder,linkedin.com/in/stani,Pending,No,No,No,Lending protocol MEV
Robert Leshner,Compound,Founder,linkedin.com/in/robertleshner,Pending,No,No,No,DeFi infrastructure
Kain Warwick,Synthetix,Founder,linkedin.com/in/kainwarwick,Pending,No,No,No,Derivatives MEV
Andre Cronje,Yearn,Founder,twitter.com/andrecronje,Pending,No,No,No,Vault protection
Hart Lambur,UMA,Co-founder,linkedin.com/in/hartlambur,Pending,No,No,No,Oracle MEV protection
